name,type,neighborhood
Museu Etnologic i de Cultures del Mon *Parc Montjuic,Museos,el Poble Sec
El Parc del Forum,Parques y jardines,el Besos i el Maresme
Parc Central de Nou Barris,Parques y jardines,la Guineueta
Museu de Ciencies Naturals de Barcelona - Jardi Botanic de Barcelona,Parques y jardines,el Poble Sec
Castell de Montjuic,Barcelona WiFi,el Poble Sec
Parc de Can Drago,Parques y jardines,Porta
L'Auditori de Barcelona,Barcelona WiFi,el Fort Pienc
Teatre Nacional de Catalunya,Teatros,el Fort Pienc
Parc de Montjuic,Parques y jardines,el Poble Sec
Museu de Ciencies Naturals de Barcelona - Museu Blau,Museos,el Besos i el Maresme
Museu d'Historia de Barcelona  - Refugi 307,Patrimonio cultural,el Poble Sec
CosmoCaixa Barcelona,Museos,Sant Gervasi - la Bonanova
Futbol Club Barcelona,Ocio y tiempo libre,la Maternitat i Sant Ramon
Font Magica - Fonts de Montjuic,Patrimonio cultural,el Poble Sec
Estacio d'Autobusos Barcelona Nord,Barcelona WiFi,el Fort Pienc
Museu Nacional d'Art de Catalunya,Museos,el Poble Sec
Centre de Cultura Contemporania de Barcelona,Centros y espacios sociales y culturales,el Raval
Estacio de França,Espacios urbanos,Sant Pere
Centre Esportiu Municipal Piscines Bernat Picornell,Natacion,el Poble Sec
Palau Sant Jordi,Multiespacios,el Poble Sec
Platja de la Mar Bella,Espacios naturales,el Guinardo
Parc del Laberint d'Horta,Parques y jardines,Montbau
Park Guell,Parques y jardines,la Salut
Parc de la Ciutadella,Barcelona WiFi,Sant Pere
Mercat Encants Vells Fira de Bellcaire,Para ir a comprar,el Fort Pienc
Mercat de Sant Josep - La Boqueria,Patrimonio cultural,el Raval
Teleferic de Montjuic,Telefericos,el Poble Sec
Palau de la Musica Catalana,Auditorios y salas de concierto,Sant Pere
Gran Teatre del Liceu,Barcelona WiFi,el Raval
Sant Pau Recinte Modernista,Patrimonio cultural,el Guinardo
El Born Centre de Cultura i Memoria,Arquitectura,Sant Pere
Vall dHebron Barcelona Hospital Campus,Espacios de estudio e investigacion,Montbau
Temple Expiatori de la Sagrada Familia - Basilica,Patrimonio cultural,la Sagrada Familia
Museu Picasso,Barcelona WiFi,Sant Pere
Museu Frederic Mares,Barcelona WiFi,el Barri Gotic
